song_title,artist,confidence,source_bvid,source_video_title,source_video_url,uploader
クスシキ,,0.96,BV1w1M6zWExH,【完整版/主题曲/官方MV】药屋少女的呢喃 第二季 主题曲「クスシキ」动画MV【官方歌词】,https://www.bilibili.com/video/BV1w1M6zWExH,夏日幻听MCE
コイセカイ,コイセカイ,0.96,BV1ik4y1P7pD,【中日字幕/ClariS/OP完整版】白圣女与黑牧师 OP「コイセカイ」／ClariS,https://www.bilibili.com/video/BV1ik4y1P7pD,百億_光年
ダンスホール,,0.96,BV15g411U7YW,【中日(平假名)字幕】Mrs. GREEN APPLE「ダンスホール」,https://www.bilibili.com/video/BV15g411U7YW,Beyond-Plan
ハレ晴レユカイ,,0.96,BV1xN4y1r7oA,顶级品质试听《ハレ晴レユカイ》凉宫春日的忧郁经典片尾曲ed， 晴天好心情，SOS团舞【Hi-Res】,https://www.bilibili.com/video/BV1xN4y1r7oA,seb塞巴
ヤキモチ,,0.96,BV19J411E7rk,【蓝光】高桥优《ヤキモチ》神曲MV完整版(《起风了》日语原版),https://www.bilibili.com/video/BV19J411E7rk,音乐私藏馆
一个想成为开朗JK的孤僻JK,《一个想成为开朗JK的孤僻JK》,0.96,BV1aD4y167ju,【鹿乃】翻唱《一个想成为开朗JK的孤僻JK》,https://www.bilibili.com/video/BV1aD4y167ju,鹿乃ちゃん
七色世界,,0.96,BV1yh411Z7zt,来神楽七奈的《七色世界》听听《星話》【BML-VR2020】,https://www.bilibili.com/video/BV1yh411Z7zt,BML制作指挥部
七里香,,0.96,BV1qD4y1U7fs,【4K60FPS】周杰伦《七里香》封神之作！华语乐坛最美的一首歌,https://www.bilibili.com/video/BV1qD4y1U7fs,音乐私藏馆
万分之一的光,ChiliChill 调校：动点P 原视频：BV1Tp4y1S7cu,0.96,BV1j14y197ZR,而我也曾是你《万分之一的光》【洛天依11周年生日会】,https://www.bilibili.com/video/BV1j14y197ZR,洛天依
万分之一的光,,0.96,BV1xo4y1X7TA,天依开场，《万分之一的光》《香草茶与黑咖啡》《安娜的橱窗》三首联唱,https://www.bilibili.com/video/BV1xo4y1X7TA,BML制作指挥部
上山岗,,0.96,BV1zJ411479H,洛天依 原创《上山岗》,https://www.bilibili.com/video/BV1zJ411479H,ilem
不要小看我们之间的羁绊,,0.96,BV1PW6GY7EYZ,【4K 60帧】木叶飞舞之处，火亦生生不息！火影OP FLOW乐队《不要小看我们之间的羁绊》【2024B站跨年晚会单品】,https://www.bilibili.com/video/BV1PW6GY7EYZ,哔哩哔哩晚会
与君共,,0.96,BV1wC4y137uv,「与君共」Here With You - Asher Monroe 百万级装备试听【Hi-Res】,https://www.bilibili.com/video/BV1wC4y137uv,JLRS日落fm
丹歌惊鸿,坡上村孙骁 作词：浓缩排骨 作曲,0.96,BV1FW411x7vd,【一人之下】王也角色歌《丹歌惊鸿》,https://www.bilibili.com/video/BV1FW411x7vd,腾讯动漫
丹歌惊鸿,桂子油,0.96,BV15p411R7Sv,【一人之下】王也角色歌《丹歌惊鸿》完整版,https://www.bilibili.com/video/BV15p411R7Sv,腾讯动漫
买买买,,0.96,BV1KJ411C7Un,【Mitchie M】初音未来《买买买》【2020拜年祭单品】,https://www.bilibili.com/video/BV1KJ411C7Un,MitchieM
人型,,0.96,BV13y4y1D7mJ,HIMEHINA《人型》&《Mr.VIRTUALIZER》两首连唱，超燃现场快来打call！【BML-VR2020】,https://www.bilibili.com/video/BV13y4y1D7mJ,BML制作指挥部
人生進行形,MIMI 作词：MIMI 编曲：MIMI illustrated：さけハラス typography : 久保 裕美 ===============,0.96,BV1Yy4y1S72H,【May'n】什么都不知道就好 《人生進行形》,https://www.bilibili.com/video/BV1Yy4y1S72H,Mayn_官方
仙剑奇侠传3,一开口,0.96,BV11s411A7aN,2009年《仙剑奇侠传3》最火的插曲，原唱一开口，勾起太多回忆！,https://www.bilibili.com/video/BV11s411A7aN,爱豆娱乐
你从未离去,,0.96,BV127411A7ne,《你从未离去》白挺叔叔在熊出没的最后一首歌曲,https://www.bilibili.com/video/BV127411A7ne,赌上名侦探爷爷的名义
你好，小蜘蛛侠,,0.96,BV1Vt411a7Kr,【Something Just Like This/催泪向】“你好，小蜘蛛侠”,https://www.bilibili.com/video/BV1Vt411a7Kr,许疯子V
倒转四十六亿年,,0.96,BV16g411i7Ry,为你变回草履虫！⚡洛天依原创曲《倒转四十六亿年》⚡,https://www.bilibili.com/video/BV16g411i7Ry,邪叫教主
偏爱,,0.96,BV1ki4y1d7Ln,【4K修复】张芸京《偏爱》仙剑奇侠传版，你的青春回来啦！,https://www.bilibili.com/video/BV1ki4y1d7Ln,4K音乐馆
光るなら,,0.96,BV1w14y1p7a5,四月是你的谎言OP1《光るなら》（若能绽放光芒）4K完整版 双语字幕,https://www.bilibili.com/video/BV1w14y1p7a5,ThisDong
全是爱,,0.96,BV1694y1F74L,凤凰传奇《全是爱》唱跳限定版！【2023最美的夜】,https://www.bilibili.com/video/BV1694y1F74L,凤凰传奇
兰亭序,,0.96,BV1wL4y1E7mM,【4K修复】周杰伦《兰亭序》MV 2160P修复版 经典中国风,https://www.bilibili.com/video/BV1wL4y1E7mM,zyl2012_音乐无限
内向的都是作曲家,,0.96,BV1U4411v7bM,3D环绕♪一首百听不厌的日文歌《内向的都是作曲家》(ﾉω╹๑),https://www.bilibili.com/video/BV1U4411v7bM,Novo清欢
